分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数,クラスター,クラスター名,主成分1,主成分2
2021ビール,那覇市,12.0,1139.0,1203.0,64.0,6.2,68.19,0.45,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.16230421860496796,0.27792196358659027
2021ビール,郡山市,12.0,1093.0,1134.0,41.0,3.93,43.19,0.29,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6552084501723713,-0.20308689795750123
2021ビール,金沢市,12.0,1098.0,1138.0,40.0,5.8,63.77,0.65,0,上昇型_低価格帯_直線性高,0.23662029851360072,0.6854155101361089
2021ビール,長岡市,12.0,1097.0,1206.0,109.0,6.67,73.42,0.52,0,上昇型_低価格帯_直線性高,0.08146441521783467,0.37109064644687667
2021ビール,長崎市,12.0,1157.0,1245.0,88.0,7.81,85.96,0.55,0,上昇型_低価格帯_直線性高,0.1812600912424855,0.5591760518486307
2021ビール,長野市,12.0,1132.0,1165.0,33.0,2.73,30.08,0.15,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.1094460894995357,-0.47398358612124075
2021ビール,青森市,12.0,1108.0,1178.0,70.0,7.76,85.31,0.57,0,上昇型_低価格帯_直線性高,0.28149420813585385,0.5163650183026322
2021ビール,静岡市,12.0,1170.0,1190.0,20.0,1.71,18.85,0.09,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.3882198141084536,-0.5521285492108604
2021ビール,高松市,12.0,1120.0,1153.0,33.0,1.63,17.96,0.03,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.444406052010085,-0.7909241837323788
2021ビール,高知市,12.0,1127.0,1174.0,47.0,4.67,51.42,0.3,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6019594338022138,-0.11317685663814364
2021ビール,鳥取市,12.0,1134.0,1166.0,32.0,5.28,58.08,0.33,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.4872722856012136,-0.02541118093182777
2021ビール,鹿児島市,12.0,1093.0,1141.0,48.0,5.58,61.35,0.56,0,上昇型_低価格帯_直線性高,0.0457006415321794,0.4571185238457708
2026発泡酒,さいたま市,12.0,921.0,960.0,39.0,5.62,61.81,0.53,0,上昇型_低価格帯_直線性高,0.22741915117570285,0.06451541931163123
2026発泡酒,京都市,12.0,909.0,1002.0,93.0,9.55,105.04,0.59,0,上昇型_低価格帯_直線性高,0.7869834286887136,0.2004906101801651
2026発泡酒,今治市,12.0,881.0,966.0,85.0,7.51,82.62,0.41,1,横ばい・緩やか変動型_低価格帯_変動あり,0.2558257313759168,-0.2947915050046972
2026発泡酒,仙台市,12.0,902.0,959.0,57.0,5.51,60.65,0.53,0,上昇型_低価格帯_直線性高,0.2414548352662642,0.028811871699319192
2026発泡酒,伊丹市,12.0,917.0,1010.0,93.0,7.84,86.23,0.68,0,上昇型_低価格帯_直線性高,0.763977993028014,0.4280929094978058
2026発泡酒,佐世保市,12.0,915.0,985.0,70.0,7.06,77.69,0.66,0,上昇型_低価格帯_直線性高,0.6432844787610104,0.3733293472417192
2026発泡酒,佐賀市,12.0,940.0,1006.0,66.0,6.23,68.54,0.7,0,上昇型_低価格帯_直線性高,0.5961110791289861,0.5141516038082057
2026発泡酒,八戸市,12.0,902.0,974.0,72.0,8.4,92.42,0.82,0,上昇型_低価格帯_直線性高,1.115802774389656,0.7415559800072407
2026発泡酒,八王子市,12.0,943.0,989.0,46.0,4.45,48.92,0.18,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6059323210027936,-0.7472291746811641
2026発泡酒,函館市,12.0,903.0,948.0,45.0,5.07,55.77,0.59,0,上昇型_低価格帯_直線性高,0.30814719872634283,0.1747615284781627
2026発泡酒,前橋市,12.0,910.0,929.0,19.0,0.8,8.77,0.01,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.2859653053157303,-1.2327945892402796
2026発泡酒,北九州市,12.0,900.0,950.0,50.0,6.2,68.15,0.66,0,上昇型_低価格帯_直線性高,0.5703111141248655,0.3426283254080671
2026発泡酒,千葉市,12.0,905.0,969.0,64.0,6.06,66.62,0.44,1,横ばい・緩やか変動型_低価格帯_変動あり,0.1233010331827265,-0.18209890064525872
2026発泡酒,名古屋市,12.0,887.0,929.0,42.0,4.34,47.69,0.38,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.1549584613820477,-0.3666972945702727
2026発泡酒,和歌山市,12.0,959.0,1051.0,92.0,9.02,99.23,0.41,1,横ばい・緩やか変動型_低価格帯_変動あり,0.31327222005455757,-0.1447774703219357
2026発泡酒,堺市,12.0,910.0,958.0,48.0,3.24,35.62,0.21,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6343821903426967,-0.7397937935280843
2026発泡酒,大分市,12.0,900.0,955.0,55.0,5.69,62.62,0.71,0,上昇型_低価格帯_直線性高,0.6114456476551493,0.4622367173427003
2026発泡酒,大津市,12.0,877.0,973.0,96.0,6.76,74.35,0.31,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.013397088687137213,-0.5472048803878087
2026発泡酒,大阪市,12.0,963.0,1000.0,37.0,6.39,70.27,0.59,0,上昇型_低価格帯_直線性高,0.3695640145463637,0.2906721954323774
2026発泡酒,奈良市,12.0,910.0,972.0,62.0,5.88,64.65,0.55,0,上昇型_低価格帯_直線性高,0.3093662856639912,0.09340412619508516
2026発泡酒,姫路市,12.0,896.0,965.0,69.0,6.59,72.54,0.55,0,上昇型_低価格帯_直線性高,0.4057079699727792,0.06966844633371216
2026発泡酒,宇部市,12.0,911.0,969.0,58.0,6.51,71.62,0.58,0,上昇型_低価格帯_直線性高,0.43443649270474977,0.1700729804407999
2026発泡酒,宇都宮市,12.0,896.0,940.0,44.0,5.35,58.85,0.4,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.01883728172516128,-0.2981636985521174
2026発泡酒,宮崎市,12.0,915.0,988.0,73.0,6.89,75.81,0.57,0,上昇型_低価格帯_直線性高,0.45095996591389537,0.15449648639434668
2026発泡酒,富士市,12.0,883.0,964.0,81.0,7.57,83.23,0.7,0,上昇型_低価格帯_直線性高,0.819772845245016,0.41247115532752304
2026発泡酒,富山市,12.0,928.0,1010.0,82.0,6.11,67.23,0.43,1,横ばい・緩やか変動型_低価格帯_変動あり,0.07795404739621375,-0.16340255696967024
2026発泡酒,小山市,12.0,910.0,942.0,32.0,4.39,48.31,0.44,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.06509430640289185,-0.17822755022789524
