分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数
2021ビール,さいたま市,12.0,1092.0,1141.0,49.0,6.98,76.77,0.62
2021ビール,京都市,12.0,1120.0,1169.0,49.0,6.59,72.5,0.38
2021ビール,今治市,12.0,1102.0,1145.0,43.0,6.08,66.92,0.43
2021ビール,仙台市,12.0,1100.0,1141.0,41.0,3.89,42.77,0.34
2021ビール,伊丹市,12.0,1127.0,1234.0,107.0,7.2,79.15,0.61
2021ビール,佐世保市,12.0,1168.0,1239.0,71.0,7.44,81.81,0.69
2021ビール,佐賀市,12.0,1149.0,1211.0,62.0,6.12,67.27,0.64
2021ビール,八戸市,12.0,1164.0,1208.0,44.0,6.3,69.31,0.72
2021ビール,八王子市,12.0,1152.0,1211.0,59.0,5.27,57.96,0.19
2021ビール,函館市,12.0,1098.0,1153.0,55.0,5.52,60.77,0.66
2021ビール,前橋市,12.0,1175.0,1131.0,-44.0,-5.62,-61.85,0.3
2021ビール,北九州市,12.0,1121.0,1179.0,58.0,5.39,59.31,0.4
2021ビール,千葉市,12.0,1136.0,1182.0,46.0,2.83,31.15,0.1
2021ビール,名古屋市,12.0,1092.0,1121.0,29.0,2.93,32.19,0.08
2021ビール,和歌山市,12.0,1201.0,1190.0,-11.0,6.02,66.23,0.14
2021ビール,堺市,12.0,1178.0,1195.0,17.0,1.87,20.54,0.11
2021ビール,大分市,12.0,1131.0,1178.0,47.0,4.64,51.0,0.4
2021ビール,大津市,12.0,1097.0,1141.0,44.0,5.56,61.12,0.58
2021ビール,大阪市,12.0,1224.0,1198.0,-26.0,-0.76,-8.35,0.02
2021ビール,奈良市,12.0,1123.0,1128.0,5.0,3.02,33.23,0.17
2021ビール,姫路市,12.0,1127.0,1157.0,30.0,4.07,44.73,0.29
2021ビール,宇部市,12.0,1138.0,1193.0,55.0,4.57,50.31,0.45
2021ビール,宇都宮市,12.0,1119.0,1156.0,37.0,3.45,37.92,0.31
2021ビール,宮崎市,12.0,1164.0,1248.0,84.0,7.93,87.23,0.57
2021ビール,富士市,12.0,1087.0,1136.0,49.0,5.53,60.88,0.63
2021ビール,富山市,12.0,1120.0,1168.0,48.0,4.54,49.96,0.13
2021ビール,小山市,12.0,1126.0,1163.0,37.0,3.96,43.58,0.55
2021ビール,山口市,12.0,1197.0,1244.0,47.0,5.36,58.92,0.65
2021ビール,山形市,12.0,1123.0,1156.0,33.0,4.06,44.65,0.43
2021ビール,岐阜市,12.0,1119.0,1140.0,21.0,2.49,27.42,0.11
2021ビール,岡山市,12.0,1138.0,1218.0,80.0,7.29,80.15,0.55
2021ビール,川口市,12.0,1164.0,1119.0,-45.0,0.98,10.77,0.01
2021ビール,川崎市,12.0,1114.0,1144.0,30.0,3.99,43.85,0.32
2021ビール,広島市,12.0,1156.0,1180.0,24.0,5.37,59.04,0.44
2021ビール,府中市,12.0,1090.0,1130.0,40.0,5.15,56.69,0.29
2021ビール,徳島市,12.0,1216.0,1291.0,75.0,8.66,95.31,0.75
2021ビール,所沢市,12.0,1090.0,1138.0,48.0,5.66,62.27,0.39
2021ビール,新潟市,12.0,1097.0,1145.0,48.0,4.28,47.12,0.37
2021ビール,日立市,12.0,1160.0,1222.0,62.0,4.13,45.38,0.4
2021ビール,旭川市,12.0,1123.0,1180.0,57.0,5.65,62.19,0.49
2021ビール,札幌市,12.0,1130.0,1180.0,50.0,5.69,62.62,0.68
2021ビール,東京都区部,12.0,1145.0,1188.0,43.0,4.74,52.15,0.32
2021ビール,東大阪市,12.0,1178.0,1215.0,37.0,1.86,20.5,0.07
2021ビール,松山市,12.0,1090.0,1156.0,66.0,4.37,48.08,0.21
2021ビール,松本市,12.0,1081.0,1165.0,84.0,7.2,79.19,0.51
2021ビール,松江市,12.0,1132.0,1195.0,63.0,5.18,57.0,0.4
2021ビール,松阪市,12.0,1097.0,1145.0,48.0,3.2,35.15,0.09
2021ビール,枚方市,12.0,1153.0,1138.0,-15.0,1.72,18.96,0.06
2021ビール,柏市,12.0,1126.0,1123.0,-3.0,2.71,29.85,0.11
2021ビール,横浜市,12.0,1103.0,1176.0,73.0,7.4,81.35,0.54
2021ビール,水戸市,12.0,1119.0,1137.0,18.0,2.08,22.92,0.27
2021ビール,津市,12.0,1115.0,1200.0,85.0,7.2,79.19,0.7
2021ビール,浜松市,12.0,1105.0,1126.0,21.0,1.94,21.31,0.06
2021ビール,浦安市,12.0,1098.0,1138.0,40.0,5.17,56.92,0.54
2021ビール,熊本市,12.0,1175.0,1208.0,33.0,1.71,18.85,0.08
2021ビール,熊谷市,12.0,1066.0,1121.0,55.0,7.65,84.19,0.42
2021ビール,甲府市,12.0,1135.0,1201.0,66.0,6.07,66.73,0.53
2021ビール,盛岡市,12.0,1116.0,1174.0,58.0,6.61,72.69,0.54
2021ビール,相模原市,12.0,1119.0,1141.0,22.0,2.66,29.23,0.12
2021ビール,神戸市,12.0,1185.0,1222.0,37.0,1.41,15.5,0.04
2021ビール,福井市,12.0,1098.0,1161.0,63.0,6.37,70.04,0.27
2021ビール,福山市,12.0,1150.0,1187.0,37.0,2.78,30.62,0.09
2021ビール,福岡市,12.0,1109.0,1183.0,74.0,8.46,93.08,0.59
2021ビール,福島市,12.0,1097.0,1137.0,40.0,5.73,63.08,0.39
2021ビール,秋田市,12.0,1119.0,1171.0,52.0,5.43,59.73,0.49
2021ビール,立川市,12.0,1152.0,1164.0,12.0,1.64,18.0,0.04
2021ビール,藤沢市,12.0,1116.0,1149.0,33.0,0.87,9.54,0.01
2021ビール,西宮市,12.0,1159.0,1255.0,96.0,5.62,61.85,0.51
2021ビール,豊橋市,12.0,1143.0,1164.0,21.0,4.41,48.46,0.34
2021ビール,那覇市,12.0,1139.0,1203.0,64.0,6.2,68.19,0.45
2021ビール,郡山市,12.0,1093.0,1134.0,41.0,3.93,43.19,0.29
2021ビール,金沢市,12.0,1098.0,1138.0,40.0,5.8,63.77,0.65
2021ビール,長岡市,12.0,1097.0,1206.0,109.0,6.67,73.42,0.52
2021ビール,長崎市,12.0,1157.0,1245.0,88.0,7.81,85.96,0.55
2021ビール,長野市,12.0,1132.0,1165.0,33.0,2.73,30.08,0.15
2021ビール,青森市,12.0,1108.0,1178.0,70.0,7.76,85.31,0.57
2021ビール,静岡市,12.0,1170.0,1190.0,20.0,1.71,18.85,0.09
2021ビール,高松市,12.0,1120.0,1153.0,33.0,1.63,17.96,0.03
2021ビール,高知市,12.0,1127.0,1174.0,47.0,4.67,51.42,0.3
2021ビール,鳥取市,12.0,1134.0,1166.0,32.0,5.28,58.08,0.33
2021ビール,鹿児島市,12.0,1093.0,1141.0,48.0,5.58,61.35,0.56
2026発泡酒,さいたま市,12.0,921.0,960.0,39.0,5.62,61.81,0.53
2026発泡酒,京都市,12.0,909.0,1002.0,93.0,9.55,105.04,0.59
2026発泡酒,今治市,12.0,881.0,966.0,85.0,7.51,82.62,0.41
2026発泡酒,仙台市,12.0,902.0,959.0,57.0,5.51,60.65,0.53
2026発泡酒,伊丹市,12.0,917.0,1010.0,93.0,7.84,86.23,0.68
2026発泡酒,佐世保市,12.0,915.0,985.0,70.0,7.06,77.69,0.66
2026発泡酒,佐賀市,12.0,940.0,1006.0,66.0,6.23,68.54,0.7
2026発泡酒,八戸市,12.0,902.0,974.0,72.0,8.4,92.42,0.82
2026発泡酒,八王子市,12.0,943.0,989.0,46.0,4.45,48.92,0.18
2026発泡酒,函館市,12.0,903.0,948.0,45.0,5.07,55.77,0.59
2026発泡酒,前橋市,12.0,910.0,929.0,19.0,0.8,8.77,0.01
2026発泡酒,北九州市,12.0,900.0,950.0,50.0,6.2,68.15,0.66
2026発泡酒,千葉市,12.0,905.0,969.0,64.0,6.06,66.62,0.44
2026発泡酒,名古屋市,12.0,887.0,929.0,42.0,4.34,47.69,0.38
2026発泡酒,和歌山市,12.0,959.0,1051.0,92.0,9.02,99.23,0.41
2026発泡酒,堺市,12.0,910.0,958.0,48.0,3.24,35.62,0.21
2026発泡酒,大分市,12.0,900.0,955.0,55.0,5.69,62.62,0.71
2026発泡酒,大津市,12.0,877.0,973.0,96.0,6.76,74.35,0.31
2026発泡酒,大阪市,12.0,963.0,1000.0,37.0,6.39,70.27,0.59
2026発泡酒,奈良市,12.0,910.0,972.0,62.0,5.88,64.65,0.55
2026発泡酒,姫路市,12.0,896.0,965.0,69.0,6.59,72.54,0.55
2026発泡酒,宇部市,12.0,911.0,969.0,58.0,6.51,71.62,0.58
2026発泡酒,宇都宮市,12.0,896.0,940.0,44.0,5.35,58.85,0.4
2026発泡酒,宮崎市,12.0,915.0,988.0,73.0,6.89,75.81,0.57
2026発泡酒,富士市,12.0,883.0,964.0,81.0,7.57,83.23,0.7
2026発泡酒,富山市,12.0,928.0,1010.0,82.0,6.11,67.23,0.43
2026発泡酒,小山市,12.0,910.0,942.0,32.0,4.39,48.31,0.44
2026発泡酒,山口市,12.0,966.0,1024.0,58.0,6.71,73.85,0.8
2026発泡酒,山形市,12.0,925.0,992.0,67.0,3.28,36.04,0.1
2026発泡酒,岐阜市,12.0,896.0,951.0,55.0,4.68,51.5,0.38
2026発泡酒,岡山市,12.0,933.0,958.0,25.0,3.3,36.35,0.36
2026発泡酒,川口市,12.0,933.0,948.0,15.0,3.21,35.31,0.18
2026発泡酒,川崎市,12.0,913.0,962.0,49.0,5.62,61.81,0.49
2026発泡酒,広島市,12.0,904.0,937.0,33.0,3.78,41.58,0.38
2026発泡酒,府中市,12.0,932.0,943.0,11.0,0.92,10.15,0.02
2026発泡酒,徳島市,12.0,978.0,1063.0,85.0,9.87,108.54,0.76
2026発泡酒,所沢市,12.0,918.0,988.0,70.0,7.27,79.92,0.53
2026発泡酒,新潟市,12.0,895.0,958.0,63.0,5.49,60.35,0.59
2026発泡酒,日立市,12.0,914.0,977.0,63.0,5.87,64.54,0.35
2026発泡酒,旭川市,12.0,926.0,960.0,34.0,3.17,34.88,0.46
2026発泡酒,札幌市,12.0,916.0,963.0,47.0,4.61,50.73,0.59
2026発泡酒,東京都区部,12.0,926.0,993.0,67.0,6.85,75.31,0.56
2026発泡酒,東大阪市,12.0,915.0,984.0,69.0,8.2,90.19,0.65
2026発泡酒,松山市,12.0,873.0,936.0,63.0,7.57,83.23,0.39
2026発泡酒,松本市,12.0,894.0,947.0,53.0,5.7,62.65,0.55
2026発泡酒,松江市,12.0,944.0,1013.0,69.0,6.05,66.54,0.68
2026発泡酒,松阪市,12.0,877.0,958.0,81.0,6.54,71.92,0.36
2026発泡酒,枚方市,12.0,900.0,991.0,91.0,7.92,87.08,0.73
2026発泡酒,柏市,12.0,883.0,931.0,48.0,5.29,58.19,0.39
2026発泡酒,横浜市,12.0,904.0,984.0,80.0,8.12,89.27,0.5
2026発泡酒,水戸市,12.0,865.0,921.0,56.0,5.32,58.54,0.48
2026発泡酒,津市,12.0,947.0,1024.0,77.0,7.03,77.38,0.6
2026発泡酒,浜松市,12.0,911.0,955.0,44.0,5.01,55.08,0.42
2026発泡酒,浦安市,12.0,918.0,976.0,58.0,9.21,101.31,0.55
2026発泡酒,熊本市,12.0,968.0,1021.0,53.0,5.13,56.38,0.85
2026発泡酒,熊谷市,12.0,945.0,989.0,44.0,4.15,45.69,0.57
2026発泡酒,甲府市,12.0,922.0,981.0,59.0,6.42,70.62,0.59
2026発泡酒,盛岡市,12.0,919.0,972.0,53.0,6.01,66.08,0.58
2026発泡酒,相模原市,12.0,906.0,954.0,48.0,4.98,54.77,0.34
2026発泡酒,神戸市,12.0,924.0,965.0,41.0,5.55,61.04,0.58
2026発泡酒,福井市,12.0,903.0,963.0,60.0,4.25,46.77,0.26
2026発泡酒,福山市,12.0,914.0,995.0,81.0,7.21,79.31,0.5
2026発泡酒,福岡市,12.0,889.0,969.0,80.0,6.91,76.04,0.45
2026発泡酒,福島市,12.0,899.0,953.0,54.0,5.12,56.35,0.5
2026発泡酒,秋田市,12.0,919.0,984.0,65.0,6.58,72.35,0.69
2026発泡酒,立川市,12.0,953.0,999.0,46.0,3.87,42.62,0.25
2026発泡酒,藤沢市,12.0,907.0,940.0,33.0,1.31,14.38,0.02
2026発泡酒,西宮市,12.0,935.0,1031.0,96.0,8.97,98.69,0.79
2026発泡酒,豊橋市,12.0,914.0,966.0,52.0,5.73,63.08,0.35
2026発泡酒,那覇市,12.0,939.0,1020.0,81.0,6.88,75.65,0.59
2026発泡酒,郡山市,12.0,910.0,972.0,62.0,5.54,60.92,0.53
2026発泡酒,金沢市,12.0,911.0,959.0,48.0,4.93,54.19,0.44
2026発泡酒,長岡市,12.0,896.0,940.0,44.0,4.3,47.27,0.35
2026発泡酒,長崎市,12.0,915.0,985.0,70.0,6.65,73.12,0.59
2026発泡酒,長野市,12.0,919.0,985.0,66.0,6.15,67.62,0.52
2026発泡酒,青森市,12.0,914.0,964.0,50.0,6.4,70.38,0.6
2026発泡酒,静岡市,12.0,914.0,975.0,61.0,6.24,68.65,0.61
2026発泡酒,高松市,12.0,859.0,922.0,63.0,8.06,88.69,0.3
2026発泡酒,高知市,12.0,899.0,965.0,66.0,7.14,78.5,0.51
2026発泡酒,鳥取市,12.0,936.0,997.0,61.0,6.41,70.46,0.69
2026発泡酒,鹿児島市,12.0,858.0,912.0,54.0,5.37,59.04,0.52
2027ビール風アルコール飲料,さいたま市,12.0,859.0,902.0,43.0,5.97,65.69,0.55
2027ビール風アルコール飲料,京都市,12.0,874.0,896.0,22.0,6.08,66.92,0.29
2027ビール風アルコール飲料,今治市,12.0,849.0,877.0,28.0,3.47,38.19,0.12
2027ビール風アルコール飲料,仙台市,12.0,842.0,877.0,35.0,3.86,42.42,0.26
2027ビール風アルコール飲料,伊丹市,12.0,914.0,896.0,-18.0,1.72,18.92,0.03
2027ビール風アルコール飲料,佐世保市,12.0,893.0,957.0,64.0,6.36,69.92,0.65
2027ビール風アルコール飲料,佐賀市,12.0,906.0,976.0,70.0,6.54,71.96,0.61
2027ビール風アルコール飲料,八戸市,12.0,889.0,1032.0,143.0,10.04,110.42,0.64
2027ビール風アルコール飲料,八王子市,12.0,891.0,947.0,56.0,4.52,49.73,0.18
2027ビール風アルコール飲料,函館市,12.0,852.0,878.0,26.0,1.84,20.19,0.14
2027ビール風アルコール飲料,前橋市,12.0,893.0,882.0,-11.0,-1.96,-21.54,0.07
2027ビール風アルコール飲料,北九州市,12.0,863.0,920.0,57.0,6.34,69.73,0.58
2027ビール風アルコール飲料,千葉市,12.0,874.0,922.0,48.0,4.98,54.73,0.38
2027ビール風アルコール飲料,名古屋市,12.0,831.0,866.0,35.0,3.63,39.96,0.32
2027ビール風アルコール飲料,和歌山市,12.0,878.0,952.0,74.0,7.93,87.19,0.3
2027ビール風アルコール飲料,堺市,12.0,870.0,899.0,29.0,1.95,21.46,0.1
2027ビール風アルコール飲料,大分市,12.0,877.0,929.0,52.0,5.19,57.08,0.49
2027ビール風アルコール飲料,大津市,12.0,877.0,947.0,70.0,7.37,81.08,0.57
2027ビール風アルコール飲料,大阪市,12.0,931.0,931.0,0.0,0.57,6.27,0.01
2027ビール風アルコール飲料,奈良市,12.0,873.0,904.0,31.0,4.03,44.38,0.36
2027ビール風アルコール飲料,姫路市,12.0,895.0,887.0,-8.0,1.73,19.08,0.04
2027ビール風アルコール飲料,宇部市,12.0,932.0,929.0,-3.0,3.37,37.04,0.19
2027ビール風アルコール飲料,宇都宮市,12.0,837.0,885.0,48.0,3.81,41.88,0.39
2027ビール風アルコール飲料,宮崎市,12.0,898.0,981.0,83.0,7.84,86.19,0.57
2027ビール風アルコール飲料,富士市,12.0,832.0,910.0,78.0,6.42,70.62,0.46
2027ビール風アルコール飲料,富山市,12.0,904.0,944.0,40.0,5.18,56.96,0.3
2027ビール風アルコール飲料,小山市,12.0,859.0,892.0,33.0,3.64,40.0,0.46
2027ビール風アルコール飲料,山口市,12.0,940.0,977.0,37.0,4.62,50.81,0.55
2027ビール風アルコール飲料,山形市,12.0,859.0,903.0,44.0,1.16,12.81,0.01
2027ビール風アルコール飲料,岐阜市,12.0,859.0,885.0,26.0,2.2,24.15,0.15
2027ビール風アルコール飲料,岡山市,12.0,888.0,936.0,48.0,5.09,56.0,0.36
2027ビール風アルコール飲料,川口市,12.0,885.0,908.0,23.0,2.36,25.96,0.14
2027ビール風アルコール飲料,川崎市,12.0,864.0,905.0,41.0,4.45,48.92,0.44
2027ビール風アルコール飲料,広島市,12.0,908.0,960.0,52.0,5.75,63.27,0.62
2027ビール風アルコール飲料,府中市,12.0,877.0,877.0,0.0,1.08,11.85,0.03
2027ビール風アルコール飲料,徳島市,12.0,957.0,1040.0,83.0,9.57,105.27,0.84
2027ビール風アルコール飲料,所沢市,12.0,849.0,893.0,44.0,3.68,40.5,0.15
2027ビール風アルコール飲料,新潟市,12.0,870.0,917.0,47.0,4.63,50.88,0.41
2027ビール風アルコール飲料,日立市,12.0,897.0,911.0,14.0,2.52,27.73,0.16
2027ビール風アルコール飲料,旭川市,12.0,894.0,924.0,30.0,3.25,35.73,0.29
2027ビール風アルコール飲料,札幌市,12.0,864.0,880.0,16.0,1.57,17.27,0.06
2027ビール風アルコール飲料,東京都区部,12.0,873.0,929.0,56.0,5.6,61.58,0.45
2027ビール風アルコール飲料,東大阪市,12.0,895.0,910.0,15.0,2.21,24.27,0.09
2027ビール風アルコール飲料,松山市,12.0,844.0,899.0,55.0,5.47,60.19,0.34
2027ビール風アルコール飲料,松本市,12.0,858.0,923.0,65.0,6.5,71.5,0.41
2027ビール風アルコール飲料,松江市,12.0,874.0,914.0,40.0,3.08,33.85,0.2
2027ビール風アルコール飲料,松阪市,12.0,855.0,907.0,52.0,3.82,42.0,0.18
2027ビール風アルコール飲料,枚方市,12.0,853.0,878.0,25.0,4.9,53.88,0.31
2027ビール風アルコール飲料,柏市,12.0,847.0,874.0,27.0,2.8,30.81,0.17
2027ビール風アルコール飲料,横浜市,12.0,848.0,913.0,65.0,6.19,68.04,0.29
2027ビール風アルコール飲料,水戸市,12.0,828.0,876.0,48.0,4.91,53.96,0.35
2027ビール風アルコール飲料,津市,12.0,893.0,954.0,61.0,5.97,65.62,0.48
2027ビール風アルコール飲料,浜松市,12.0,841.0,871.0,30.0,3.26,35.88,0.15
2027ビール風アルコール飲料,浦安市,12.0,852.0,922.0,70.0,6.44,70.85,0.43
2027ビール風アルコール飲料,熊本市,12.0,922.0,959.0,37.0,4.11,45.23,0.24
2027ビール風アルコール飲料,熊谷市,12.0,901.0,857.0,-44.0,0.12,1.27,0.0
2027ビール風アルコール飲料,甲府市,12.0,889.0,948.0,59.0,5.35,58.85,0.48
2027ビール風アルコール飲料,盛岡市,12.0,881.0,918.0,37.0,4.64,51.0,0.41
2027ビール風アルコール飲料,相模原市,12.0,859.0,896.0,37.0,4.12,45.31,0.31
2027ビール風アルコール飲料,神戸市,12.0,894.0,939.0,45.0,2.88,31.69,0.21
2027ビール風アルコール飲料,福井市,12.0,885.0,947.0,62.0,5.95,65.46,0.53
2027ビール風アルコール飲料,福山市,12.0,893.0,918.0,25.0,3.34,36.69,0.2
2027ビール風アルコール飲料,福岡市,12.0,849.0,949.0,100.0,7.85,86.31,0.56
2027ビール風アルコール飲料,福島市,12.0,851.0,877.0,26.0,2.48,27.31,0.27
2027ビール風アルコール飲料,秋田市,12.0,882.0,924.0,42.0,5.09,56.04,0.55
2027ビール風アルコール飲料,立川市,12.0,884.0,936.0,52.0,4.66,51.23,0.22
2027ビール風アルコール飲料,藤沢市,12.0,869.0,892.0,23.0,2.45,27.0,0.11
2027ビール風アルコール飲料,西宮市,12.0,928.0,912.0,-16.0,1.43,15.77,0.03
2027ビール風アルコール飲料,豊橋市,12.0,875.0,903.0,28.0,4.57,50.31,0.41
2027ビール風アルコール飲料,那覇市,12.0,923.0,932.0,9.0,3.36,36.96,0.17
2027ビール風アルコール飲料,郡山市,12.0,844.0,878.0,34.0,3.08,33.88,0.17
2027ビール風アルコール飲料,金沢市,12.0,863.0,903.0,40.0,3.9,42.85,0.33
2027ビール風アルコール飲料,長岡市,12.0,848.0,877.0,29.0,2.57,28.23,0.27
2027ビール風アルコール飲料,長崎市,12.0,861.0,926.0,65.0,6.47,71.15,0.65
2027ビール風アルコール飲料,長野市,12.0,871.0,923.0,52.0,4.25,46.77,0.24
2027ビール風アルコール飲料,青森市,12.0,865.0,918.0,53.0,6.14,67.5,0.54
2027ビール風アルコール飲料,静岡市,12.0,899.0,917.0,18.0,0.05,0.5,0.0
2027ビール風アルコール飲料,高松市,12.0,879.0,878.0,-1.0,0.43,4.69,0.0
2027ビール風アルコール飲料,高知市,12.0,874.0,918.0,44.0,4.42,48.58,0.25
2027ビール風アルコール飲料,鳥取市,12.0,887.0,937.0,50.0,5.01,55.12,0.5
2027ビール風アルコール飲料,鹿児島市,12.0,836.0,887.0,51.0,5.56,61.12,0.5
2033ウイスキー,さいたま市,12.0,1695.0,1643.0,-52.0,-4.92,-54.12,0.31
2033ウイスキー,京都市,12.0,1793.0,1733.0,-60.0,-4.4,-48.42,0.76
2033ウイスキー,今治市,12.0,1854.0,1677.0,-177.0,-9.56,-105.12,0.69
2033ウイスキー,仙台市,12.0,1750.0,1692.0,-58.0,-7.08,-77.88,0.84
2033ウイスキー,伊丹市,12.0,1740.0,1736.0,-4.0,-0.52,-5.73,0.29
2033ウイスキー,佐世保市,12.0,1774.0,1726.0,-48.0,-4.51,-49.58,0.94
2033ウイスキー,佐賀市,12.0,1751.0,1768.0,17.0,1.4,15.42,0.45
2033ウイスキー,八戸市,12.0,1738.0,1705.0,-33.0,4.58,50.35,0.02
2033ウイスキー,八王子市,12.0,1738.0,1758.0,20.0,2.76,30.31,0.19
2033ウイスキー,函館市,12.0,1775.0,1679.0,-96.0,-8.32,-91.5,0.85
2033ウイスキー,前橋市,12.0,1726.0,1652.0,-74.0,-6.94,-76.38,0.74
2033ウイスキー,北九州市,12.0,1699.0,1654.0,-45.0,-2.87,-31.62,0.22
2033ウイスキー,千葉市,12.0,1733.0,1715.0,-18.0,-0.01,-0.12,0.0
2033ウイスキー,名古屋市,12.0,1724.0,1638.0,-86.0,-8.71,-95.77,0.82
2033ウイスキー,和歌山市,12.0,1836.0,1792.0,-44.0,-4.83,-53.08,0.35
2033ウイスキー,堺市,12.0,1787.0,1725.0,-62.0,-4.85,-53.38,0.7
2033ウイスキー,大分市,12.0,1850.0,1751.0,-99.0,-12.4,-136.42,0.58
2033ウイスキー,大津市,12.0,1709.0,1730.0,21.0,1.77,19.5,0.13
2033ウイスキー,大阪市,12.0,1859.0,1820.0,-39.0,-2.38,-26.23,0.21
2033ウイスキー,奈良市,12.0,1851.0,1670.0,-181.0,-9.88,-108.73,0.51
2033ウイスキー,姫路市,12.0,1763.0,1763.0,0.0,-1.28,-14.04,0.24
2033ウイスキー,宇部市,12.0,1782.0,1818.0,36.0,3.92,43.15,0.69
2033ウイスキー,宇都宮市,12.0,1751.0,1695.0,-56.0,-6.76,-74.31,0.64
2033ウイスキー,宮崎市,12.0,1813.0,1813.0,0.0,0.0,0.0,1.0
2033ウイスキー,富士市,12.0,1695.0,1726.0,31.0,1.85,20.38,0.14
2033ウイスキー,富山市,12.0,1723.0,1668.0,-55.0,-6.15,-67.69,0.54
2033ウイスキー,小山市,12.0,1757.0,1706.0,-51.0,-4.79,-52.69,0.94
2033ウイスキー,山口市,12.0,1781.0,1869.0,88.0,9.3,102.27,0.63
2033ウイスキー,山形市,12.0,1757.0,1713.0,-44.0,-4.15,-45.69,0.96
2033ウイスキー,岐阜市,12.0,1751.0,1669.0,-82.0,-5.63,-61.92,0.67
2033ウイスキー,岡山市,12.0,1885.0,1751.0,-134.0,-16.99,-186.85,0.75
2033ウイスキー,川口市,12.0,1751.0,1658.0,-93.0,-6.05,-66.54,0.54
2033ウイスキー,川崎市,12.0,1747.0,1656.0,-91.0,-7.26,-79.88,0.78
2033ウイスキー,広島市,12.0,1774.0,1719.0,-55.0,-5.7,-62.69,0.93
2033ウイスキー,府中市,12.0,1702.0,1647.0,-55.0,-4.88,-53.73,0.29
2033ウイスキー,徳島市,12.0,1819.0,1888.0,69.0,1.64,18.0,0.04
2033ウイスキー,所沢市,12.0,1745.0,1682.0,-63.0,-9.83,-108.12,0.67
2033ウイスキー,新潟市,12.0,1738.0,1704.0,-34.0,-3.26,-35.81,0.2
2033ウイスキー,日立市,12.0,1751.0,1777.0,26.0,-2.03,-22.31,0.07
2033ウイスキー,旭川市,12.0,1709.0,1677.0,-32.0,-2.7,-29.69,0.77
2033ウイスキー,札幌市,12.0,1767.0,1712.0,-55.0,-4.78,-52.58,0.78
2033ウイスキー,東京都区部,12.0,1771.0,1718.0,-53.0,-4.47,-49.15,0.84
2033ウイスキー,東大阪市,12.0,1779.0,1769.0,-10.0,-0.95,-10.42,0.19
2033ウイスキー,松山市,12.0,1781.0,1737.0,-44.0,-3.98,-43.81,0.93
2033ウイスキー,松本市,12.0,1718.0,1719.0,1.0,-2.4,-26.42,0.32
2033ウイスキー,松江市,12.0,1818.0,1743.0,-75.0,-7.35,-80.85,0.95
2033ウイスキー,松阪市,12.0,1738.0,1756.0,18.0,-0.54,-5.96,0.0
2033ウイスキー,枚方市,12.0,1792.0,1711.0,-81.0,-5.46,-60.04,0.71
2033ウイスキー,柏市,12.0,1693.0,1637.0,-56.0,-4.32,-47.54,0.56
2033ウイスキー,横浜市,12.0,1755.0,1738.0,-17.0,-3.03,-33.38,0.52
2033ウイスキー,水戸市,12.0,1692.0,1671.0,-21.0,-1.63,-17.88,0.07
2033ウイスキー,津市,12.0,1852.0,1787.0,-65.0,-3.91,-43.04,0.28
2033ウイスキー,浜松市,12.0,1718.0,1614.0,-104.0,-9.07,-99.73,0.89
2033ウイスキー,浦安市,12.0,1747.0,1640.0,-107.0,-11.02,-121.23,0.9
2033ウイスキー,熊本市,12.0,1745.0,1758.0,13.0,1.35,14.85,0.69
2033ウイスキー,熊谷市,12.0,1749.0,1749.0,0.0,-0.77,-8.46,0.0
2033ウイスキー,甲府市,12.0,1730.0,1730.0,0.0,0.1,1.12,0.0
2033ウイスキー,盛岡市,12.0,1757.0,1777.0,20.0,2.82,31.0,0.19
2033ウイスキー,相模原市,12.0,1763.0,1658.0,-105.0,-7.9,-86.88,0.81
2033ウイスキー,神戸市,12.0,1772.0,1743.0,-29.0,-2.28,-25.08,0.53
2033ウイスキー,福井市,12.0,1780.0,1735.0,-45.0,2.12,23.27,0.11
2033ウイスキー,福山市,12.0,1774.0,1744.0,-30.0,-4.58,-50.38,0.37
2033ウイスキー,福岡市,12.0,1712.0,1693.0,-19.0,-0.67,-7.42,0.11
2033ウイスキー,福島市,12.0,1757.0,1713.0,-44.0,-4.62,-50.85,0.94
2033ウイスキー,秋田市,12.0,1732.0,1707.0,-25.0,-3.25,-35.77,0.74
2033ウイスキー,立川市,12.0,1766.0,1703.0,-63.0,-8.6,-94.62,0.55
2033ウイスキー,藤沢市,12.0,1758.0,1680.0,-78.0,-5.05,-55.54,0.29
2033ウイスキー,西宮市,12.0,1728.0,1724.0,-4.0,-0.52,-5.73,0.29
2033ウイスキー,豊橋市,12.0,1775.0,1633.0,-142.0,-15.15,-166.69,0.75
2033ウイスキー,那覇市,12.0,1809.0,1787.0,-22.0,-0.12,-1.35,0.0
2033ウイスキー,郡山市,12.0,1754.0,1684.0,-70.0,-5.7,-62.65,0.66
2033ウイスキー,金沢市,12.0,1730.0,1629.0,-101.0,-10.94,-120.38,0.83
2033ウイスキー,長岡市,12.0,1744.0,1700.0,-44.0,-3.83,-42.12,0.62
2033ウイスキー,長崎市,12.0,1752.0,1758.0,6.0,0.73,8.08,0.73
2033ウイスキー,長野市,12.0,1719.0,1685.0,-34.0,-3.8,-41.85,0.67
