分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数
2132天丼（外食）,宇都宮市,12.0,1183.0,1310.0,127.0,13.04,143.42,0.68
2132天丼（外食）,宮崎市,12.0,813.0,863.0,50.0,5.64,62.08,0.79
2132天丼（外食）,富士市,0.0,,,,,,
2132天丼（外食）,富山市,12.0,1343.0,1383.0,40.0,2.88,31.69,0.69
2132天丼（外食）,小山市,0.0,,,,,,
2132天丼（外食）,山口市,12.0,1110.0,1237.0,127.0,13.98,153.77,0.89
2132天丼（外食）,山形市,12.0,1417.0,1433.0,16.0,1.51,16.62,0.57
2132天丼（外食）,岐阜市,12.0,910.0,933.0,23.0,2.64,29.0,0.74
2132天丼（外食）,岡山市,12.0,860.0,846.0,-14.0,-1.71,-18.85,0.07
2132天丼（外食）,川口市,0.0,,,,,,
2132天丼（外食）,川崎市,0.0,,,,,,
2132天丼（外食）,広島市,12.0,1093.0,1103.0,10.0,0.55,6.08,0.52
2132天丼（外食）,府中市,0.0,,,,,,
2132天丼（外食）,徳島市,12.0,817.0,877.0,60.0,3.69,40.54,0.74
2132天丼（外食）,所沢市,0.0,,,,,,
2132天丼（外食）,新潟市,12.0,1147.0,1239.0,92.0,8.69,95.54,0.57
2132天丼（外食）,日立市,0.0,,,,,,
2132天丼（外食）,旭川市,0.0,,,,,,
2132天丼（外食）,札幌市,12.0,973.0,1010.0,37.0,2.43,26.73,0.68
2132天丼（外食）,東京都区部,12.0,1275.0,1356.0,81.0,9.0,99.0,0.83
2132天丼（外食）,東大阪市,0.0,,,,,,
2132天丼（外食）,松山市,12.0,856.0,926.0,70.0,7.65,84.12,0.84
2132天丼（外食）,松本市,0.0,,,,,,
2132天丼（外食）,松江市,12.0,882.0,960.0,78.0,9.3,102.35,0.86
2132天丼（外食）,松阪市,0.0,,,,,,
2132天丼（外食）,枚方市,0.0,,,,,,
2132天丼（外食）,柏市,0.0,,,,,,
2132天丼（外食）,横浜市,12.0,1270.0,1285.0,15.0,2.63,28.92,0.56
2132天丼（外食）,水戸市,12.0,1267.0,1333.0,66.0,7.38,81.23,0.67
2132天丼（外食）,津市,12.0,1133.0,1210.0,77.0,7.43,81.73,0.84
2132天丼（外食）,浜松市,0.0,,,,,,
2132天丼（外食）,浦安市,0.0,,,,,,
2132天丼（外食）,熊本市,12.0,1063.0,1148.0,85.0,5.44,59.85,0.74
2132天丼（外食）,熊谷市,0.0,,,,,,
2132天丼（外食）,甲府市,12.0,1093.0,1093.0,0.0,0.0,0.0,1.0
2132天丼（外食）,盛岡市,12.0,943.0,927.0,-16.0,-7.66,-84.31,0.32
2132天丼（外食）,相模原市,0.0,,,,,,
2132天丼（外食）,神戸市,12.0,1022.0,1042.0,20.0,1.37,15.08,0.2
2132天丼（外食）,福井市,12.0,1093.0,1093.0,0.0,0.0,0.0,1.0
2132天丼（外食）,福山市,0.0,,,,,,
2132天丼（外食）,福岡市,12.0,1164.0,1133.0,-31.0,-3.26,-35.81,0.12
2132天丼（外食）,福島市,12.0,1227.0,1286.0,59.0,7.06,77.69,0.84
2132天丼（外食）,秋田市,12.0,1110.0,1110.0,0.0,0.0,0.0,1.0
2132天丼（外食）,立川市,0.0,,,,,,
2132天丼（外食）,藤沢市,0.0,,,,,,
2132天丼（外食）,西宮市,0.0,,,,,,
2132天丼（外食）,豊橋市,0.0,,,,,,
2132天丼（外食）,那覇市,12.0,1054.0,1098.0,44.0,4.98,54.77,0.82
2132天丼（外食）,郡山市,0.0,,,,,,
2132天丼（外食）,金沢市,12.0,960.0,1070.0,110.0,10.86,119.46,0.72
2132天丼（外食）,長岡市,0.0,,,,,,
2132天丼（外食）,長崎市,12.0,963.0,993.0,30.0,3.36,36.92,0.67
2132天丼（外食）,長野市,12.0,1007.0,863.0,-144.0,-18.59,-204.54,0.65
2132天丼（外食）,青森市,12.0,869.0,877.0,8.0,0.9,9.85,0.67
2132天丼（外食）,静岡市,12.0,877.0,927.0,50.0,5.67,62.38,0.79
2132天丼（外食）,高松市,12.0,1100.0,1155.0,55.0,3.85,42.31,0.42
2132天丼（外食）,高知市,12.0,890.0,890.0,0.0,0.0,0.0,1.0
2132天丼（外食）,鳥取市,12.0,1284.0,1318.0,34.0,3.21,35.31,0.57
